"","Partner","tenure","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","Contract","MonthlyCharges","TotalCharges","Churn"
"1","Yes",1,"No","No phone service","DSL","No","Yes","No","No","Month-to-month",29.85,29.85,"No"
"2","No",34,"Yes","No","DSL","Yes","No","Yes","No","One year",56.95,1889.5,"No"
"3","No",2,"Yes","No","DSL","Yes","Yes","No","No","Month-to-month",53.85,108.15,"Yes"
"4","No",45,"No","No phone service","DSL","Yes","No","Yes","Yes","One year",42.3,1840.75,"No"
"5","No",2,"Yes","No","Fiber optic","No","No","No","No","Month-to-month",70.7,151.65,"Yes"
"6","No",8,"Yes","Yes","Fiber optic","No","No","Yes","No","Month-to-month",99.65,820.5,"Yes"
"7","No",22,"Yes","Yes","Fiber optic","No","Yes","No","No","Month-to-month",89.1,1949.4,"No"
"8","No",10,"No","No phone service","DSL","Yes","No","No","No","Month-to-month",29.75,301.9,"No"
"9","Yes",28,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Month-to-month",104.8,3046.05,"Yes"
"10","No",62,"Yes","No","DSL","Yes","Yes","No","No","One year",56.15,3487.95,"No"
"11","Yes",13,"Yes","No","DSL","Yes","No","No","No","Month-to-month",49.95,587.45,"No"
"12","No",16,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Two year",18.95,326.8,"No"
"13","Yes",58,"Yes","Yes","Fiber optic","No","No","Yes","No","One year",100.35,5681.1,"No"
"14","No",49,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Month-to-month",103.7,5036.3,"Yes"
"15","No",25,"Yes","No","Fiber optic","Yes","No","Yes","Yes","Month-to-month",105.5,2686.05,"No"
"16","Yes",69,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Two year",113.25,7895.15,"No"
"17","No",52,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","One year",20.65,1022.95,"No"
"18","No",71,"Yes","Yes","Fiber optic","Yes","No","Yes","No","Two year",106.7,7382.25,"No"
"19","Yes",10,"Yes","No","DSL","No","No","Yes","Yes","Month-to-month",55.2,528.35,"Yes"
"20","No",21,"Yes","No","Fiber optic","No","Yes","Yes","No","Month-to-month",90.05,1862.9,"No"
"21","No",1,"No","No phone service","DSL","No","No","Yes","No","Month-to-month",39.65,39.65,"Yes"
"22","Yes",12,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","One year",19.8,202.25,"No"
"23","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Month-to-month",20.15,20.15,"Yes"
"24","Yes",58,"Yes","Yes","DSL","No","Yes","No","Yes","Two year",59.9,3505.1,"No"
"25","Yes",49,"Yes","No","DSL","Yes","Yes","No","Yes","Month-to-month",59.6,2970.3,"No"
"26","No",30,"Yes","No","DSL","Yes","Yes","No","No","Month-to-month",55.3,1530.6,"No"
"27","Yes",47,"Yes","Yes","Fiber optic","No","Yes","No","No","Month-to-month",99.35,4749.15,"Yes"
"28","Yes",1,"No","No phone service","DSL","No","Yes","No","No","Month-to-month",30.2,30.2,"Yes"
"29","Yes",72,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Two year",90.25,6369.45,"No"
"30","No",17,"Yes","No","DSL","No","No","No","No","Month-to-month",64.7,1093.1,"Yes"
"31","Yes",71,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Two year",96.35,6766.95,"No"
"32","Yes",2,"Yes","No","Fiber optic","No","No","Yes","No","Month-to-month",95.5,181.65,"No"
"33","Yes",27,"Yes","No","DSL","Yes","Yes","Yes","Yes","One year",66.15,1874.45,"No"
"34","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","Month-to-month",20.2,20.2,"No"
"35","No",1,"Yes","No","DSL","No","No","No","No","Month-to-month",45.25,45.25,"No"
"36","Yes",72,"Yes","Yes","Fiber optic","Yes","Yes","No","Yes","Two year",99.9,7251.7,"No"
"37","No",5,"Yes","No","Fiber optic","No","No","No","No","Month-to-month",69.7,316.9,"Yes"
"38","No",46,"Yes","No","Fiber optic","No","No","Yes","No","Month-to-month",74.8,3548.3,"No"
"39","No",34,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Month-to-month",106.35,3549.25,"Yes"
"40","No",11,"Yes","Yes","Fiber optic","No","No","Yes","No","Month-to-month",97.85,1105.4,"Yes"
"41","Yes",10,"Yes","No","DSL","No","Yes","No","No","One year",49.55,475.7,"No"
"42","Yes",70,"Yes","Yes","DSL","Yes","Yes","No","No","Two year",69.2,4872.35,"No"
"43","Yes",17,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","One year",20.75,418.25,"No"
"44","No",63,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Two year",79.85,4861.45,"No"
"45","Yes",13,"Yes","Yes","DSL","Yes","Yes","No","Yes","Month-to-month",76.2,981.45,"No"
"46","No",49,"Yes","Yes","Fiber optic","No","No","No","No","Month-to-month",84.5,3906.7,"No"
"47","No",2,"Yes","No","DSL","No","Yes","No","No","Month-to-month",49.25,97,"No"
"48","No",2,"Yes","No","Fiber optic","No","No","No","No","Month-to-month",80.65,144.15,"Yes"
"49","No",52,"Yes","Yes","DSL","Yes","No","No","Yes","Two year",79.75,4217.8,"No"
"50","Yes",69,"Yes","Yes","DSL","Yes","No","Yes","Yes","Two year",64.15,4254.1,"No"
"51","No",43,"Yes","Yes","Fiber optic","No","Yes","No","No","Month-to-month",90.25,3838.75,"No"
"52","No",15,"Yes","No","Fiber optic","Yes","Yes","No","No","Month-to-month",99.1,1426.4,"Yes"
"53","Yes",25,"Yes","Yes","DSL","Yes","No","No","Yes","Month-to-month",69.5,1752.65,"No"
"54","Yes",8,"Yes","Yes","Fiber optic","No","Yes","No","No","Month-to-month",80.65,633.3,"Yes"
"55","Yes",60,"Yes","No","DSL","Yes","Yes","Yes","Yes","One year",74.85,4456.35,"No"
"56","No",18,"Yes","Yes","Fiber optic","No","No","No","No","Month-to-month",95.45,1752.55,"Yes"
"57","Yes",63,"Yes","Yes","Fiber optic","Yes","No","No","No","One year",99.65,6311.2,"No"
"58","Yes",66,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","One year",108.45,7076.35,"No"
"59","Yes",34,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","Two year",24.95,894.3,"No"
